yaxcatd (/Applications/Tableau Desktop 2024.2.app/Contents/MacOS/yaxcat/yaxcatd) built at 26ca6db listening on unix:/var/folders/wm/852755ps3yx0nw0t0b5fp4q00000gn/T/tableau-temp/LD/0se33au17q3cwv17r6rm9150d6mu/yaxcatd with 8 worker threads.
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.453ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.450ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.454ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.459ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.011ms; [no ensemble]::AggModelServiceImpl::ping: 
0.837ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.002ms; [no ensemble]::AggModelServiceImpl::ping: 
0.453ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.476ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.453ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.013ms; [no ensemble]::AggModelServiceImpl::ping: 
0.485ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.523ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.456ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.450ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.051ms; [no ensemble]::AggModelServiceImpl::ping: 
0.528ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.530ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.392ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.460ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.444ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.347ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.447ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.524ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.427ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.483ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.002ms; [no ensemble]::AggModelServiceImpl::ping: 
0.358ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.433ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.002ms; [no ensemble]::AggModelServiceImpl::ping: 
0.437ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.326ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.439ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.452ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
stdin closed, exiting.
